State,City,Date,Year,Month,Domestic_Tourists,International_Tourists,Tourism_Revenue_Cr,Popular_Attraction,Average_Spending_per_Tourist,Number_of_Hotels,Average_Hotel_Price,Events_or_Festivals,Weather_Condition,Mode_of_Transport,Average_Transport_Cost,Local_Transport_Used,Average_Stay_Days,Hotel_Occupancy_Rate(%),Tourist_Satisfaction_Score,Adventure_Activities,Medical_Facilities
Uttar Pradesh,Agra,01-10-2020,2020,October,44728,4653,63377.89,River Rafting,1.28,341,8624.01,Religious Event,Snowy,Flight,749.45,No,2.4,91.99,4.3,No,Average
Uttar Pradesh,Agra,01-11-2020,2020,November,35552,4158,68309.06,Temple,1.72,238,2875.08,Religious Event,Snowy,Boat,2060.59,Yes,12.4,61.08,4.8,Yes,Average
Uttar Pradesh,Agra,01-12-2020,2020,December,43147,4339,44206.66,Temple,0.93,428,9509.24,Music Festival,Sunny,Bus,5380.32,Yes,11.4,60.09,4,No,Average
Uttar Pradesh,Agra,01-01-2021,2021,January,6366,1465,11469.9,Wildlife Sanctuary,1.46,300,4023.39,Crafts Mela,Cold,Bike,3528.52,Yes,11,81.69,4.1,Yes,Good
Uttar Pradesh,Agra,01-02-2021,2021,February,6375,1114,7815.45,Cultural Festival,1.04,169,5926.32,Food Festival,Rainy,Boat,7392.48,No,10.1,83.69,4.5,Yes,Poor
Uttar Pradesh,Agra,01-03-2021,2021,March,35101,798,46699.03,Wildlife Sanctuary,1.3,55,6095.38,Crafts Mela,Cloudy,Flight,1812.84,No,7.1,87.59,4,No,Poor
Uttar Pradesh,Agra,01-04-2021,2021,April,39557,2653,42557.33,Fort,1.01,231,2008.68,Sports Event,Sunny,Flight,3877.97,No,2,89.82,4.6,Yes,Good
Uttar Pradesh,Agra,01-05-2021,2021,May,16419,4176,39932.84,Museum,1.94,111,7239.35,Festival,Cold,Train,1166.23,No,7.9,82.58,4.2,No,Poor
Uttar Pradesh,Agra,01-06-2021,2021,June,49366,2330,67460.3,Backwaters,1.3,473,8402.9,Music Festival,Sunny,Flight,733.61,Yes,6.1,70.71,3.9,No,Good
Uttar Pradesh,Agra,01-07-2021,2021,July,28895,1956,37608.7,Fort,1.22,209,1957.84,Sports Event,Sunny,Bus,1760.2,Yes,2.4,88.69,3.4,No,Poor
Uttar Pradesh,Agra,01-08-2021,2021,August,34717,3533,41793.32,Beach,1.09,203,2528.8,Sports Event,Cold,Train,3347.9,Yes,2.2,86.52,3.1,No,Good
Uttar Pradesh,Agra,01-09-2021,2021,September,16503,4066,34975.18,Museum,1.7,446,5741.24,Music Festival,Cloudy,Boat,4653.11,Yes,3.5,85.32,3.8,Yes,Good
Uttar Pradesh,Agra,01-10-2021,2021,October,11104,2112,17477.97,Cultural Festival,1.32,296,4222.17,Dance Festival,Sunny,Boat,4546.95,Yes,6.6,66.64,3.1,Yes,Poor
Uttar Pradesh,Agra,01-11-2021,2021,November,9579,1900,18170.62,Beach,1.58,215,7483.93,Music Festival,Cold,Flight,2534.37,Yes,11.6,54.76,4.3,Yes,Poor
Uttar Pradesh,Agra,01-12-2021,2021,December,49916,1392,41893.5,Hill Station,0.82,92,7175.7,Festival,Sunny,Bike,7992.38,No,14.1,52.41,4.8,Yes,Poor
Uttar Pradesh,Agra,01-01-2022,2022,January,12863,4226,27238.19,Hill Station,1.59,152,8063.62,Music Festival,Cold,Flight,1861.73,No,2.9,53,3.3,No,Poor
Uttar Pradesh,Agra,01-02-2022,2022,February,33059,4364,46506.49,Hill Station,1.24,226,3662.3,Crafts Mela,Sunny,Flight,7603.12,No,8.4,92.61,4.2,Yes,Good
Uttar Pradesh,Agra,01-03-2022,2022,March,22068,3109,32614.14,Fort,1.3,456,3303.38,Art Fair,Cold,Bus,1479.66,Yes,3,59.87,4.5,Yes,Average
Uttar Pradesh,Agra,01-04-2022,2022,April,12860,717,11954.12,Backwaters,0.88,131,6066.52,Dance Festival,Rainy,Train,1283.38,No,13.2,75.41,4.9,No,Poor
Uttar Pradesh,Agra,01-05-2022,2022,May,11120,3275,26516.94,Backwaters,1.84,205,7258.27,Music Festival,Cloudy,Bike,4606.06,No,12.8,89.77,4.2,Yes,Poor
Uttar Pradesh,Agra,01-06-2022,2022,June,11708,3742,20263.9,Backwaters,1.31,464,3005.63,Festival,Cloudy,Car,6873.32,Yes,6.6,91.57,3.5,Yes,Poor
Uttar Pradesh,Agra,01-07-2022,2022,July,24539,4823,49048.47,Fort,1.67,207,6497.72,Food Festival,Sunny,Car,4689.51,Yes,10.4,71.62,5,No,Poor
Uttar Pradesh,Agra,01-08-2022,2022,August,39538,3777,40180,Cultural Festival,0.93,172,6731.92,Sports Event,Rainy,Car,7212.87,Yes,12.1,77.73,4.1,Yes,Good
Uttar Pradesh,Agra,01-09-2022,2022,September,41551,2043,50875.53,Museum,1.17,53,8696.08,Food Festival,Snowy,Train,6633.3,Yes,5.3,94.17,4.4,No,Average
Uttar Pradesh,Agra,01-10-2022,2022,October,12871,1501,11251.28,Backwaters,0.78,360,3462.42,Art Fair,Sunny,Car,1989.71,Yes,11.1,69.71,4.5,No,Good
Uttar Pradesh,Agra,01-11-2022,2022,November,23374,1924,36721.31,River Rafting,1.45,314,4151.56,Festival,Rainy,Bike,4903.8,Yes,13.8,67.13,4.4,Yes,Good
Uttar Pradesh,Agra,01-12-2022,2022,December,19044,868,21756.3,Beach,1.09,430,3879.55,Crafts Mela,Humid,Train,1254.9,Yes,12.1,71.3,3.5,No,Average
Uttar Pradesh,Agra,01-01-2023,2023,January,11876,3742,24824.88,Fort,1.59,362,3520.36,Religious Event,Snowy,Bus,3466.75,No,6.2,77.24,4.8,Yes,Poor
Uttar Pradesh,Agra,01-02-2023,2023,February,27369,4862,32295.34,Hill Station,1,260,7887.08,Food Festival,Snowy,Flight,6236.99,Yes,11.1,51.83,4.1,No,Average
Uttar Pradesh,Agra,01-03-2023,2023,March,32739,1707,38382.29,Temple,1.11,448,2425.97,Religious Event,Cloudy,Bike,1304.7,Yes,4.7,51.84,3.1,No,Good
Uttar Pradesh,Agra,01-04-2023,2023,April,32466,4090,51697.25,Beach,1.41,129,8655.69,Crafts Mela,Snowy,Bike,1923.45,Yes,14.2,84.66,3.8,Yes,Average
Uttar Pradesh,Agra,01-05-2023,2023,May,46334,1499,44717.13,Desert Safari,0.93,470,7668.82,Food Festival,Cold,Car,6069.27,Yes,13.7,77.84,3.2,Yes,Poor
Uttar Pradesh,Agra,01-06-2023,2023,June,26388,907,41752.56,Temple,1.53,117,6839.97,Music Festival,Sunny,Flight,7693.51,No,10.8,77.38,4.2,No,Poor
Uttar Pradesh,Agra,01-07-2023,2023,July,30838,3249,40551.48,Backwaters,1.19,445,1804.64,Festival,Cloudy,Boat,3058.73,No,3.8,71.19,3.2,Yes,Average
Uttar Pradesh,Agra,01-08-2023,2023,August,18777,1260,18638.24,Desert Safari,0.93,79,2573.62,Sports Event,Rainy,Train,668.24,Yes,13.9,62.46,4.4,Yes,Average
Uttar Pradesh,Agra,01-09-2023,2023,September,19230,2509,23895.48,Fort,1.1,134,6482.47,Sports Event,Cold,Bike,4420.96,Yes,12,90.83,3.8,No,Average
Uttar Pradesh,Agra,01-10-2023,2023,October,6443,3928,14548.68,Fort,1.4,102,2724.15,Food Festival,Rainy,Bike,4560.45,No,6.2,52.91,4.9,No,Good
Uttar Pradesh,Agra,01-11-2023,2023,November,43202,4551,45250.89,Museum,0.95,447,5584.88,Food Festival,Rainy,Bike,2939.6,No,10.8,84.41,3.7,No,Good
Uttar Pradesh,Agra,01-12-2023,2023,December,39847,4022,59309.37,Temple,1.35,366,3063.76,Crafts Mela,Sunny,Car,2975.46,No,11.6,73.94,5,No,Poor
Uttar Pradesh,Varanasi,01-01-2019,2019,January,26754,2760,51537.93,Museum,1.75,386,9989.68,Art Fair,Cloudy,Boat,519.65,Yes,7.4,72.82,3.3,Yes,Average
Uttar Pradesh,Varanasi,01-02-2019,2019,February,7729,4441,20060.48,Cultural Festival,1.65,60,6863.33,Festival,Cold,Bus,1699.43,Yes,13.9,85.1,4.4,No,Good
Uttar Pradesh,Varanasi,01-03-2019,2019,March,10468,4949,22773.16,River Rafting,1.48,418,4731,Music Festival,Snowy,Bike,5849.07,Yes,10.9,71.95,4.1,Yes,Good
Uttar Pradesh,Varanasi,01-04-2019,2019,April,42721,4034,56267.86,Desert Safari,1.2,375,6895.2,Festival,Cloudy,Bike,3772.52,Yes,12,87.8,4.3,Yes,Poor
Uttar Pradesh,Varanasi,01-05-2019,2019,May,18183,872,25525.08,Museum,1.34,434,6783.91,Food Festival,Sunny,Car,5975.22,No,11.3,91.94,3,Yes,Average
Uttar Pradesh,Varanasi,01-06-2019,2019,June,34837,1668,59946.54,Wildlife Sanctuary,1.64,449,4058.25,Religious Event,Rainy,Car,6022.17,No,7.8,60.11,4.9,Yes,Good
Uttar Pradesh,Varanasi,01-07-2019,2019,July,17650,1790,28117.92,Temple,1.45,322,9563.25,Art Fair,Snowy,Flight,6286.47,Yes,12.7,50.79,4.7,Yes,Average
Uttar Pradesh,Varanasi,01-08-2019,2019,August,26153,849,16746.92,Temple,0.62,233,3942.72,Dance Festival,Cold,Bike,6348.32,Yes,13.3,53.81,3.8,Yes,Poor
Uttar Pradesh,Varanasi,01-09-2019,2019,September,20010,1141,21251.37,Desert Safari,1,345,1645.83,Crafts Mela,Cloudy,Car,6938.45,Yes,2.3,59.89,3.8,No,Good
Uttar Pradesh,Varanasi,01-10-2019,2019,October,25295,2439,41961.42,Fort,1.51,209,6151.77,Crafts Mela,Rainy,Flight,1174.07,No,4.7,71.55,3.5,Yes,Poor
Uttar Pradesh,Varanasi,01-11-2019,2019,November,32682,1487,28785.09,Temple,0.84,171,5112.03,Art Fair,Cold,Boat,1018.73,No,12.6,60.37,3.9,No,Average
Uttar Pradesh,Varanasi,01-12-2019,2019,December,19695,1204,13104.73,Wildlife Sanctuary,0.63,362,2688.92,Art Fair,Rainy,Bike,823,No,11.8,87.33,3.5,No,Poor
Uttar Pradesh,Varanasi,01-01-2020,2020,January,33498,3249,56088.06,Backwaters,1.53,476,6485.64,Food Festival,Humid,Bus,5222.93,No,8.9,78.7,4.7,No,Good
Uttar Pradesh,Varanasi,01-02-2020,2020,February,7354,4129,21493.12,River Rafting,1.87,451,2936.65,Music Festival,Cloudy,Bus,4370.78,No,12,77.41,3.4,Yes,Average
Uttar Pradesh,Varanasi,01-03-2020,2020,March,5870,1167,9120.33,Desert Safari,1.3,295,2344.65,Dance Festival,Sunny,Bus,777.47,Yes,10.1,72.43,3.3,No,Average
Uttar Pradesh,Varanasi,01-04-2020,2020,April,30867,3732,34130.24,Backwaters,0.99,308,5997.47,Art Fair,Rainy,Car,1485.11,No,8.4,75.53,3.9,No,Average
Uttar Pradesh,Varanasi,01-05-2020,2020,May,24239,2267,28175.81,Museum,1.06,491,4876.92,Religious Event,Rainy,Flight,5912.7,No,6.9,92.46,4.2,No,Good
Uttar Pradesh,Varanasi,01-06-2020,2020,June,26265,3990,30675.27,Desert Safari,1.01,404,1983.86,Festival,Cloudy,Boat,923.61,No,3.3,84.75,4.7,No,Average
Uttar Pradesh,Varanasi,01-07-2020,2020,July,28040,2401,39653.6,Temple,1.3,157,7624.52,Food Festival,Cold,Flight,6289.14,Yes,12.2,67.83,4.3,No,Poor
Uttar Pradesh,Varanasi,01-08-2020,2020,August,42987,1356,29596.66,Beach,0.67,388,4761.58,Art Fair,Cloudy,Bus,4483.3,Yes,2.3,60.87,4.3,No,Average
Uttar Pradesh,Varanasi,01-09-2020,2020,September,13796,4786,23316.23,River Rafting,1.25,229,7614.92,Music Festival,Sunny,Car,685.48,No,14.8,83.66,3.2,Yes,Average
Uttar Pradesh,Varanasi,01-10-2020,2020,October,15739,2569,26023.62,Hill Station,1.42,403,4428.23,Festival,Snowy,Car,7697.65,No,2.9,81.36,4.9,Yes,Average
Uttar Pradesh,Varanasi,01-11-2020,2020,November,22194,1256,20740.99,Backwaters,0.88,85,3417.56,Sports Event,Cloudy,Bus,3866.77,No,4.5,82.49,3.1,No,Poor
Uttar Pradesh,Varanasi,01-12-2020,2020,December,5992,1710,15648.14,Cultural Festival,2.03,105,9374.7,Festival,Rainy,Train,2978.59,No,11.4,81.64,4,No,Good
Uttar Pradesh,Varanasi,01-01-2021,2021,January,18145,1662,20084.19,Beach,1.01,119,7215.22,Food Festival,Rainy,Bike,1073.82,Yes,9,94.82,4.4,No,Good
Uttar Pradesh,Varanasi,01-02-2021,2021,February,37633,2719,52800.5,Backwaters,1.31,204,5643.07,Food Festival,Sunny,Bike,6817.15,No,7.1,68.42,3.9,Yes,Average
Uttar Pradesh,Varanasi,01-03-2021,2021,March,10897,572,13900.58,Desert Safari,1.21,338,3634.57,Sports Event,Humid,Train,3040.92,Yes,14.7,59.26,3.7,Yes,Average
Uttar Pradesh,Varanasi,01-04-2021,2021,April,21231,2105,22600.3,Fort,0.97,487,3719.25,Music Festival,Snowy,Bus,4816.07,No,11.7,68.05,4.2,Yes,Average
Uttar Pradesh,Varanasi,01-05-2021,2021,May,25271,3550,41904.46,River Rafting,1.45,461,4266.08,Festival,Cold,Car,2460.44,No,9,60,3.3,No,Good
Uttar Pradesh,Varanasi,01-06-2021,2021,June,41767,4207,52996.97,Temple,1.15,154,9618.31,Sports Event,Cloudy,Bus,1679.77,Yes,3.2,91.82,4.1,No,Poor
Uttar Pradesh,Varanasi,01-07-2021,2021,July,17731,2257,22369.24,Wildlife Sanctuary,1.12,206,9958.41,Crafts Mela,Rainy,Boat,7998.32,Yes,2.3,74.48,3.3,Yes,Good
Uttar Pradesh,Varanasi,01-08-2021,2021,August,26286,2363,45310.75,Cultural Festival,1.58,330,6803.54,Music Festival,Sunny,Flight,7589.61,Yes,3.2,79.06,4.6,Yes,Good
Uttar Pradesh,Varanasi,01-09-2021,2021,September,48302,2550,69231.38,Wildlife Sanctuary,1.36,491,9614.08,Dance Festival,Cold,Car,4229.43,No,2.1,88.49,4.5,Yes,Good
Uttar Pradesh,Varanasi,01-10-2021,2021,October,13446,2817,26706.33,Temple,1.64,378,5786.51,Sports Event,Cloudy,Flight,3969.49,Yes,5.9,62.66,4.5,Yes,Average
Uttar Pradesh,Varanasi,01-11-2021,2021,November,48479,1715,42121.89,River Rafting,0.84,277,3993.78,Religious Event,Snowy,Car,5724.65,No,9.9,87.53,3.5,Yes,Average
Uttar Pradesh,Varanasi,01-12-2021,2021,December,10597,3215,24070.42,Backwaters,1.74,274,4501.47,Dance Festival,Sunny,Train,1888.01,No,5,57.03,3.1,Yes,Average
Uttar Pradesh,Varanasi,01-01-2022,2022,January,37207,991,50597.82,Museum,1.32,294,5897.32,Crafts Mela,Cloudy,Flight,2425.98,Yes,2.7,64.72,3.2,No,Poor
Uttar Pradesh,Varanasi,01-02-2022,2022,February,13409,3786,26633.08,Fort,1.55,319,6654.71,Dance Festival,Cloudy,Boat,2832.72,No,10.3,87.35,3.9,Yes,Average
Uttar Pradesh,Varanasi,01-03-2022,2022,March,8013,2466,15312.91,Hill Station,1.46,364,6895.24,Music Festival,Cold,Bus,5459.25,No,6.5,66.52,4.2,No,Poor
Uttar Pradesh,Varanasi,01-04-2022,2022,April,37038,3800,61805.2,Backwaters,1.51,231,8147.32,Music Festival,Sunny,Bike,1196.79,No,12.1,81.33,3.3,Yes,Poor
Uttar Pradesh,Varanasi,01-05-2022,2022,May,49714,1016,52008.02,Fort,1.03,466,4047.18,Art Fair,Cold,Boat,6350.37,No,9.7,55.26,4.4,No,Average
Uttar Pradesh,Varanasi,01-06-2022,2022,June,43911,4157,47339.92,River Rafting,0.98,369,2798.87,Dance Festival,Sunny,Bike,1587.76,No,5.9,69,4.7,Yes,Good
Uttar Pradesh,Varanasi,01-07-2022,2022,July,15693,4891,46544.81,Cultural Festival,2.26,131,2759.63,Art Fair,Sunny,Train,693.11,Yes,11.3,88.53,3.1,No,Average
Uttar Pradesh,Varanasi,01-08-2022,2022,August,12084,3825,25836.03,River Rafting,1.62,223,2092.23,Religious Event,Cold,Train,1057.37,No,2.7,58,4.6,Yes,Average
Uttar Pradesh,Varanasi,01-09-2022,2022,September,15217,2803,30135.35,Museum,1.67,296,6312.51,Sports Event,Cloudy,Boat,4691.13,Yes,7.9,90.05,3.5,No,Poor
Uttar Pradesh,Varanasi,01-10-2022,2022,October,30512,2671,36445.14,Hill Station,1.1,447,3457.75,Religious Event,Rainy,Car,3961.15,Yes,6.3,90.75,4.3,No,Average
Uttar Pradesh,Varanasi,01-11-2022,2022,November,27111,2227,24655.83,Wildlife Sanctuary,0.84,441,2414.61,Dance Festival,Cold,Flight,6218.6,Yes,14.8,56.01,3.6,No,Good
Uttar Pradesh,Varanasi,01-12-2022,2022,December,13753,3489,21960.56,Cultural Festival,1.27,89,9569.06,Festival,Snowy,Train,1328.57,Yes,10.9,80.53,4.6,Yes,Poor
Uttar Pradesh,Varanasi,01-01-2023,2023,January,14888,610,23497.01,River Rafting,1.52,252,6593.97,Religious Event,Rainy,Boat,3151.9,No,10,79.92,3.6,No,Good
Uttar Pradesh,Varanasi,01-02-2023,2023,February,34132,1961,32842.82,Fort,0.91,377,2362.06,Music Festival,Cloudy,Bus,6929.18,Yes,12.6,51.03,4,No,Poor
Uttar Pradesh,Varanasi,01-03-2023,2023,March,32525,3236,56951.27,Temple,1.59,179,3366.37,Music Festival,Snowy,Flight,1665.08,No,14.8,60.71,4.5,Yes,Average
Uttar Pradesh,Varanasi,01-04-2023,2023,April,21819,3387,30835.16,Cultural Festival,1.22,492,5190.92,Art Fair,Cold,Train,1874.24,No,6.2,69.53,4.1,Yes,Average
Uttar Pradesh,Varanasi,01-05-2023,2023,May,37073,1543,33470.63,Museum,0.87,176,3042.09,Festival,Cold,Bike,1567.15,No,10.4,92.63,3.2,No,Poor
Uttar Pradesh,Varanasi,01-06-2023,2023,June,6458,2108,13219.66,Cultural Festival,1.54,221,6153.86,Music Festival,Cloudy,Bike,4671.99,Yes,4.8,71.45,3.4,Yes,Poor
Uttar Pradesh,Varanasi,01-07-2023,2023,July,15292,4655,27451.45,Fort,1.38,277,6621.21,Food Festival,Snowy,Car,6327.63,No,3.1,56.93,4.1,No,Average
Uttar Pradesh,Varanasi,01-08-2023,2023,August,46207,4511,55238,Desert Safari,1.09,462,5217.86,Art Fair,Rainy,Flight,6362.5,No,3.7,67.41,3.8,Yes,Poor
Uttar Pradesh,Varanasi,01-09-2023,2023,September,45524,2993,38063.7,Museum,0.78,351,9025.45,Sports Event,Humid,Car,5784.9,Yes,8.2,53.28,4.7,Yes,Average
Uttar Pradesh,Varanasi,01-10-2023,2023,October,18162,1393,14408.04,Backwaters,0.74,339,2307.86,Music Festival,Sunny,Bike,912.7,No,7.5,92.05,4.6,Yes,Good
Uttar Pradesh,Varanasi,01-11-2023,2023,November,27758,3828,54195.29,Desert Safari,1.72,426,7752.04,Dance Festival,Snowy,Train,555.08,Yes,2.4,82.05,4.7,Yes,Poor
Uttar Pradesh,Varanasi,01-12-2023,2023,December,40299,4792,32834.26,Desert Safari,0.73,227,2798.47,Music Festival,Humid,Bike,2757.61,Yes,12.4,90.65,3.2,No,Good
Uttar Pradesh,Lucknow,01-01-2019,2019,January,40737,534,43571.59,Beach,1.06,312,7617.56,Festival,Sunny,Boat,4142.87,Yes,9.4,92.54,4,No,Good
Uttar Pradesh,Lucknow,01-02-2019,2019,February,32976,4997,39504.66,Cultural Festival,1.04,82,5036.87,Dance Festival,Cloudy,Flight,7190.11,No,4,62.63,3.2,Yes,Average
Uttar Pradesh,Lucknow,01-03-2019,2019,March,26750,3418,46166.92,Museum,1.53,421,8683.48,Festival,Cold,Flight,7802.26,Yes,14.5,63.53,3.7,Yes,Poor
Uttar Pradesh,Lucknow,01-04-2019,2019,April,33541,1056,19931.25,Fort,0.58,73,4611.3,Religious Event,Cloudy,Bus,2152.76,Yes,8.3,87.4,3.6,Yes,Average
Uttar Pradesh,Lucknow,01-05-2019,2019,May,36457,4255,57957.49,River Rafting,1.42,135,6834.79,Dance Festival,Rainy,Bus,7257.95,No,7.7,63.96,3.3,Yes,Good
Uttar Pradesh,Lucknow,01-06-2019,2019,June,47568,3113,84743.92,Backwaters,1.67,248,2749.63,Art Fair,Snowy,Boat,504.83,No,6.8,92.19,3.3,Yes,Good
Uttar Pradesh,Lucknow,01-07-2019,2019,July,8739,3795,20093.21,Hill Station,1.6,469,5628.3,Festival,Cloudy,Flight,2558.6,No,10.9,83.26,4.9,Yes,Good
Uttar Pradesh,Lucknow,01-08-2019,2019,August,11356,4179,29880.1,Wildlife Sanctuary,1.92,150,8594.62,Crafts Mela,Cloudy,Flight,4343.59,Yes,13.7,76.98,3.4,Yes,Average
Uttar Pradesh,Lucknow,01-09-2019,2019,September,17969,2698,34435.02,Cultural Festival,1.67,290,5003.77,Religious Event,Humid,Car,7061.35,Yes,8,54.92,4.3,Yes,Poor
Uttar Pradesh,Lucknow,01-10-2019,2019,October,10535,4125,34217.94,Wildlife Sanctuary,2.33,391,3677.32,Sports Event,Humid,Train,1382.59,No,5.1,83.71,3.9,No,Average
Uttar Pradesh,Lucknow,01-11-2019,2019,November,45348,1347,33372.99,Beach,0.71,103,7349.09,Religious Event,Rainy,Bike,6730.06,No,6.1,80.72,4,Yes,Average
Uttar Pradesh,Lucknow,01-12-2019,2019,December,25662,1608,24091.57,Backwaters,0.88,362,8555.02,Dance Festival,Rainy,Train,6659.3,No,6.8,54.41,3.1,Yes,Average
Uttar Pradesh,Lucknow,01-01-2020,2020,January,48859,3239,60050.48,Fort,1.15,273,3221.91,Festival,Sunny,Flight,2704.32,Yes,8.4,75.01,3.2,Yes,Poor
Uttar Pradesh,Lucknow,01-02-2020,2020,February,39844,4080,62513.17,Cultural Festival,1.42,333,8624.91,Crafts Mela,Sunny,Bus,5972.57,No,14.3,70.27,4,Yes,Good
Uttar Pradesh,Lucknow,01-03-2020,2020,March,28590,4648,36345.03,Backwaters,1.09,416,7660.15,Food Festival,Rainy,Boat,5527.21,No,13.5,92.95,3.8,Yes,Average
Uttar Pradesh,Lucknow,01-04-2020,2020,April,40567,807,42067.85,Museum,1.02,294,5617.91,Sports Event,Sunny,Flight,4433.43,Yes,4.3,68.55,4.2,Yes,Poor
Uttar Pradesh,Lucknow,01-05-2020,2020,May,14198,4649,32085.44,Wildlife Sanctuary,1.7,198,7425.84,Art Fair,Humid,Train,852.23,Yes,13.9,73.04,3.4,Yes,Average
Uttar Pradesh,Lucknow,01-06-2020,2020,June,12106,4481,24909.76,River Rafting,1.5,163,3905.54,Dance Festival,Snowy,Train,2401.29,No,5.3,82.97,3.8,Yes,Poor
Uttar Pradesh,Lucknow,01-07-2020,2020,July,34939,1163,52838.08,Desert Safari,1.46,357,6183.94,Dance Festival,Cold,Train,6725.9,Yes,12.6,84.14,4.8,Yes,Poor
Uttar Pradesh,Lucknow,01-08-2020,2020,August,42671,1981,50749.88,Hill Station,1.14,454,3546.36,Crafts Mela,Humid,Boat,4579.71,Yes,14.8,74.39,4,Yes,Poor
Uttar Pradesh,Lucknow,01-09-2020,2020,September,46339,1326,65504.55,River Rafting,1.37,191,9595.63,Religious Event,Cold,Bus,4616.3,Yes,13.4,63,3.4,No,Good
Uttar Pradesh,Lucknow,01-10-2020,2020,October,43379,1072,58990.69,Fort,1.33,358,6204.52,Dance Festival,Humid,Boat,3183.48,Yes,14.4,77.79,4.3,Yes,Average
